    number:    symbol:           name:     group:    period:     block:    series:            mass:    eleneg:  eleaffin:    covrad:    atmrad:    vdwrad:     tboil:     tmelt:   density:                     eleconfig:                     oxistates:                                                                                                                                                                           ionenergy:     ldauu:     ldauj:                                                                                                                                                               ldaucomment:
         1:       'H':     'Hydrogen':         1:         1:       's':         1:         1.00794:       2.2:0.75420375:      0.32:      0.79:       1.2:     20.28:     13.81:     0.084:                          '1s':                      '1*, -1':                                                                                                                                                                         (13.5984, ):         0:         0:                                                                                                                                                                 'No data'
         2:      'He':       'Helium':        18:         1:       's':         2:        4.002602:       0.0:       0.0:      0.93:      0.49:       1.4:     4.216:      0.95:    0.1785:                         '1s2':                           '*':                                                                                                                                                                 (24.5874, 54.416, ):         0:         0:                                                                                                                                                                 'No data'
         3:      'Li':      'Lithium':         1:         2:       's':         3:           6.941:      0.98:  0.618049:      1.23:      2.05:      1.82:    1615.0:     453.7:      0.53:                     '[He] 2s':                          '1*':                                                                                                                                                         (5.3917, 75.638, 122.451, ):         0:         0:                                                                                                                                                                 'No data'
         4:      'Be':    'Beryllium':         2:         2:       's':         4:        9.012182:      1.57:       0.0:       0.9:       1.4:       0.0:    3243.0:    1560.0:      1.85:                    '[He] 2s2':                          '2*':                                                                                                                                                (9.3227, 18.211, 153.893, 217.713, ):         0:         0:                                                                                                                                                                 'No data'
         5:       'B':        'Boron':        13:         2:       'p':         5:          10.811:      2.04:  0.279723:      0.82:      1.17:       0.0:    4275.0:    2365.0:      2.46:                 '[He] 2s2 2p':                          '3*':                                                                                                                                           (8.298, 25.154, 37.93, 59.368, 340.217, ):         0:         0:                                                                                                                                                                 'No data'
         6:       'C':       'Carbon':        14:         2:       'p':         1:         12.0107:      2.55:  1.262118:      0.77:      0.91:       1.7:    5100.0:    3825.0:      3.51:                '[He] 2s2 2p2':                  '4*, 2, -4*':                                                                                                                               (11.2603, 24.383, 47.877, 64.492, 392.077, 489.981, ):         0:         0:                                                                                                                                                                 'No data'
         7:       'N':     'Nitrogen':        15:         2:       'p':         1:         14.0067:      3.04:     -0.07:      0.75:      0.75:      1.55:    77.344:     63.15:      1.17:                '[He] 2s2 2p3':             '5, 4, 3, 2, -3*':                                                                                                                       (14.5341, 39.601, 47.488, 77.472, 97.888, 522.057, 667.029, ):         0:         0:                                                                                                                                                                 'No data'
         8:       'O':       'Oxygen':        16:         2:       'p':         1:         15.9994:      3.44:  1.461112:      0.73:      0.65:      1.52:    90.188:      54.8:      1.33:                '[He] 2s2 2p4':                     '-2*, -1':                                                                                                     (13.6181, 35.116, 54.934, 54.934, 77.412, 113.896, 138.116, 739.315, 871.387, ):         0:         0:                                                                                                                                                                 'No data'
         9:       'F':     'Fluorine':        17:         2:       'p':         6:      18.9984032:      3.98: 3.4011887:      0.72:      0.57:      1.47:      85.0:     53.55:      1.58:                '[He] 2s2 2p5':                         '-1*':                                                                                                     (17.4228, 34.97, 62.707, 87.138, 114.24, 157.161, 185.182, 953.886, 1103.089, ):         0:         0:                                                                                                                                                                 'No data'
        10:      'Ne':         'Neon':        18:         2:       'p':         2:         20.1797:       0.0:       0.0:      0.71:      0.51:      1.54:      27.1:     24.55:    0.8999:                '[He] 2s2 2p6':                           '*':                                                                                               (21.5645, 40.962, 63.45, 97.11, 126.21, 157.93, 207.27, 239.09, 1195.797, 1362.164, ):         0:         0:                                                                                                                                                                 'No data'
