     User   NNodes  Timelimit              Submit               Start                 End 
--------- -------- ---------- ------------------- ------------------- ------------------- 
     root        1  UNLIMITED 2017-07-12T12:02:37 2017-07-12T12:02:37 2017-07-12T12:03:23 
      act        1  UNLIMITED 2017-07-12T12:03:34 2017-07-12T12:03:34 2017-07-12T12:10:16 
      act       32 2-00:00:00 2017-07-12T12:24:07 2017-07-12T12:24:07 2017-07-12T12:24:13 
      act       32 2-00:00:00 2017-07-12T12:50:01 2017-07-12T12:50:01 2017-07-12T12:50:03 
      act       31 2-00:00:00 2017-07-12T13:33:58 2017-07-12T13:33:59 2017-07-12T15:33:26 
   liuyun        8 10-00:00:+ 2017-07-12T17:42:40 2017-07-12T17:42:40 2017-07-13T10:43:53 
   liuyun       16 2-00:00:00 2017-07-12T20:15:03 2017-07-12T20:15:03 2017-07-12T20:15:03 
   liuyun       16 2-00:00:00 2017-07-13T17:39:42 2017-07-14T11:37:40 2017-07-14T11:37:40 
   liuyun        6 2-00:00:00 2017-07-12T20:18:32 2017-07-13T17:38:41 2017-07-14T12:53:27 
   liuyun        8 2-00:00:00 2017-07-12T20:19:10 2017-07-13T10:44:01 2017-07-13T13:01:02 
   liuyun        4 2-00:00:00 2017-07-12T20:30:14 2017-07-13T13:01:17 2017-07-13T15:43:36 
   liuyun        4 2-00:00:00 2017-07-12T20:30:43 2017-07-13T17:38:41 2017-07-13T17:38:45 
 yanmingw        1   01:00:00 2017-07-12T22:30:44 2017-07-12T22:30:46 2017-07-12T22:31:18 
  huashli        2 1-00:00:00 2017-07-13T07:37:51 2017-07-13T07:42:10 2017-07-13T07:42:10 
  huashli        2   10:00:00 2017-07-13T07:38:15 2017-07-13T07:42:11 2017-07-13T07:42:11 
  huashli        2   01:00:00 2017-07-13T07:39:10 2017-07-13T07:42:12 2017-07-13T07:42:12 
  huashli        1   01:00:00 2017-07-13T07:40:04 2017-07-13T07:40:16 2017-07-13T07:40:17 
  huashli        1   02:00:00 2017-07-13T07:42:03 2017-07-13T07:42:15 2017-07-13T07:42:38 
  huashli        2 1-00:00:00 2017-07-13T07:44:33 2017-07-13T17:38:41 2017-07-13T21:02:17 
  huashli        2 1-00:00:00 2017-07-13T07:50:05 2017-07-13T17:38:41 2017-07-13T20:13:30 
