datetime,	activation,	dropout,	momentum,	minibatch_size,	n_epochs,	learning_rate,	optimizer,	n_layers,	units1,	units2,	units3,	units4,	units5,	units6,	training_r2,	test_r2
2018-03-27 18:12:25,	tanh,	0.56689453125,	0.833251953125,	581,	312,	2.28500270618e-05,	AdamOptimizer,	4,	8.63916015625,	4.24462890625,	15.0698242188,	4.22998046875,	None,	None,	-0.242256777632,	-0.242256777632
2018-03-27 18:12:25,	elu,	0.06689453125,	0.583251953125,	4648,	212,	0.00722581301116,	RMSPropOptimizer,	1,	14.7915039062,	None,	None,	None,	None,	None,	-0.83990071795,	-0.83990071795
2018-03-27 18:12:25,	relu,	0.81689453125,	0.708251953125,	205,	262,	0.000406337326427,	AdamOptimizer,	6,	12.2133789062,	8.91748046875,	13.7221679688,	15.2456054688,	2.45751953125,	14.8061523438,	-0.381912485935,	-0.381912485935
2018-03-27 18:12:25,	elu,	0.31689453125,	0.958251953125,	1643,	362,	0.128495144985,	GradientDescentOptimizer,	3,	8.43408203125,	9.84033203125,	1.68115234375,	None,	None,	None,	-0.246871080444,	-0.246871080444
2018-03-27 18:12:25,	tanh,	0.69189453125,	0.645751953125,	345,	337,	0.0304710008124,	AdamOptimizer,	4,	3.01416015625,	2.36962890625,	5.69482421875,	6.10498046875,	None,	None,	-0.735118393788,	-0.735118393788
2018-03-27 18:12:25,	relu,	0.19189453125,	0.895751953125,	2764,	237,	9.63577651519e-05,	RMSPropOptimizer,	1,	1.66650390625,	None,	None,	None,	None,	None,	-0.104169660789,	-0.104169660789
2018-03-27 18:12:25,	relu,	0.94189453125,	0.770751953125,	977,	287,	0.541859533479,	GradientDescentOptimizer,	5,	12.3012695312,	11.7446289062,	4.06884765625,	11.2758789062,	12.3159179688,	None,	-0.79129552136,	-0.79129552136
2018-03-27 18:12:25,	elu,	0.44189453125,	0.520751953125,	7818,	387,	0.00171351029767,	RMSPropOptimizer,	2,	6.57373046875,	8.81494140625,	None,	None,	None,	None,	-0.751709073058,	-0.751709073058
2018-03-27 18:12:25,	tanh,	0.98876953125,	0.934814453125,	284,	265,	0.00864991258882,	RMSPropOptimizer,	6,	7.29150390625,	2.12060546875,	14.8940429688,	11.2612304688,	2.22314453125,	1.91552734375,	-0.480503157844,	-0.480503157844
2018-03-27 18:12:25,	elu,	0.48876953125,	0.684814453125,	2274,	365,	2.7353425342e-05,	AdamOptimizer,	3,	1.16845703125,	4.44970703125,	8.94677734375,	None,	None,	None,	-0.449437557299,	-0.449437557299
2018-03-27 18:12:25,	relu,	0.73876953125,	0.559814453125,	804,	315,	0.153819614553,	RMSPropOptimizer,	4,	11.6860351562,	9.16650390625,	5.92919921875,	15.7143554688,	None,	None,	-0.9272719739,	-0.9272719739
2018-03-27 18:12:25,	elu,	0.23876953125,	0.809814453125,	6433,	215,	0.000486420330798,	GradientDescentOptimizer,	1,	7.99462890625,	None,	None,	None,	None,	None,	-0.732505192778,	-0.732505192778
2018-03-27 18:12:25,	tanh,	0.86376953125,	0.622314453125,	478,	290,	0.000115348438235,	RMSPropOptimizer,	5,	10.6606445312,	3.54150390625,	1.49072265625,	8.22900390625,	11.1440429688,	None,	-0.997777026307,	-0.997777026307
2018-03-27 18:12:25,	relu,	0.36376953125,	0.872314453125,	3825,	390,	0.0364763789367,	GradientDescentOptimizer,	2,	11.4956054688,	15.1430664062,	None,	None,	None,	None,	-0.0293675207192,	-0.0293675207192
2018-03-27 18:12:25,	tanh,	0.61376953125,	0.997314453125,	169,	340,	0.00205121752694,	GradientDescentOptimizer,	4,	2.31103515625,	11.0415039062,	15.3041992188,	10.0893554688,	None,	None,	-0.745508548476,	-0.745508548476
2018-03-27 18:12:25,	elu,	0.11376953125,	0.747314453125,	1352,	240,	0.648651936159,	AdamOptimizer,	1,	9.86962890625,	None,	None,	None,	None,	None,	-0.506133442974,	-0.506133442974
2018-03-27 18:12:25,	elu,	0.80126953125,	0.903564453125,	620,	252,	0.000998876322671,	AdamOptimizer,	2,	4.93310546875,	10.4555664062,	None,	None,	None,	None,	-0.122060544065,	-0.122060544065
2018-03-27 18:12:25,	tanh,	0.30126953125,	0.653564453125,	4960,	352,	0.315872428045,	GradientDescentOptimizer,	5,	13.4731445312,	2.60400390625,	4.30322265625,	1.66650390625,	12.0815429688,	None,	-0.610452267849,	-0.610452267849
2018-03-27 18:12:25,	elu,	0.55126953125,	0.528564453125,	219,	302,	5.61709434992e-05,	AdamOptimizer,	1,	3.30712890625,	None,	None,	None,	None,	None,	-0.326492530445,	-0.326492530445
2018-03-27 18:12:25,	relu,	0.05126953125,	0.778564453125,	1753,	202,	0.0177628119778,	RMSPropOptimizer,	4,	1.37353515625,	11.9790039062,	14.3666992188,	7.27685546875,	None,	None,	-0.0866508978374,	-0.0866508978374
2018-03-27 18:12:25,	relu,	0.92626953125,	0.591064453125,	130,	277,	0.074905157021,	GradientDescentOptimizer,	3,	15.2309570312,	12.8872070312,	13.6342773438,	None,	None,	None,	-0.390220795021,	-0.390220795021
2018-03-27 18:12:25,	tanh,	0.42626953125,	0.841064453125,	1042,	377,	0.000236870904679,	RMSPropOptimizer,	6,	11.9790039062,	12.4331054688,	4.58154296875,	6.57373046875,	8.78564453125,	14.1030273438,	-0.805846109265,	-0.805846109265
2018-03-27 18:12:25,	elu,	0.67626953125,	0.966064453125,	368,	327,	0.00421222652628,	AdamOptimizer,	2,	3.05810546875,	1.08056640625,	None,	None,	None,	None,	-0.47062424998,	-0.47062424998
2018-03-27 18:12:25,	relu,	0.17626953125,	0.716064453125,	2949,	227,	1.33202298436e-05,	RMSPropOptimizer,	5,	4.09814453125,	15.7290039062,	9.92822265625,	7.29150390625,	10.2065429688,	None,	-0.726241917148,	-0.726241917148
2018-03-27 18:12:25,	elu,	0.20751953125,	0.856689453125,	419,	371,	0.000339438983929,	RMSPropOptimizer,	4,	7.46728515625,	12.4477539062,	13.8979492188,	3.99560546875,	None,	None,	-0.552528336086,	-0.552528336086
2018-03-27 18:12:25,	relu,	0.70751953125,	0.606689453125,	3359,	271,	0.107340031587,	GradientDescentOptimizer,	1,	5.65087890625,	None,	None,	None,	None,	None,	-0.88303254529,	-0.88303254529
2018-03-27 18:12:25,	elu,	0.45751953125,	0.731689453125,	148,	221,	1.90880568044e-05,	GradientDescentOptimizer,	5,	12.0668945312,	13.3852539062,	12.2719726562,	12.4477539062,	1.30029296875,	None,	-0.486150324422,	-0.486150324422
