activation, dropout, momentum, minibatch_size, n_epochs, learning_rate, optimizer, nn_structure, train_r2, test_r2
elu, None, None, 64, 0, 0.001, AdamOptimizer, 5---5, 0.0655274961939376, 0.08218825724200285
elu, None, None, 64, 1, 0.001, AdamOptimizer, 5---5, 0.1863763654892332, 0.11439557844675063
elu, None, None, 64, 1, 0.001, AdamOptimizer, 5---5, 0.23941556309189582, 0.10433381030571176
elu, None, None, 64, 2, 0.001, AdamOptimizer, 5---5, 0.2564040355896471, 0.12225893563055801
elu, None, None, 64, 3, 0.001, AdamOptimizer, 5---5, 0.26264810205234035, 0.12378305476836626
elu, None, None, 64, 3, 0.001, AdamOptimizer, 5---5, 0.268071814219244, 0.12595606634719103
elu, None, None, 64, 4, 0.001, AdamOptimizer, 5---5, 0.27094066098081215, 0.12230358259528251
elu, None, None, 64, 5, 0.001, AdamOptimizer, 5---5, 0.27535852812023254, 0.13225215861322492
elu, None, None, 64, 5, 0.001, AdamOptimizer, 5---5, 0.2776069414421499, 0.1364170312929197
elu, None, None, 64, 6, 0.001, AdamOptimizer, 5---5, 0.279347305058821, 0.13105672402106916
elu, None, None, 64, 7, 0.001, AdamOptimizer, 5---5, 0.2823976478308916, 0.1378473014645688
elu, None, None, 64, 7, 0.001, AdamOptimizer, 5---5, 0.28375794533559373, 0.14176122380649547
elu, None, None, 64, 8, 0.001, AdamOptimizer, 5---5, 0.28516255130988566, 0.15124052512225683
elu, None, None, 64, 8, 0.001, AdamOptimizer, 5---5, 0.286447477427048, 0.13529977277675065
elu, None, None, 64, 9, 0.001, AdamOptimizer, 5---5, 0.28721835529270734, 0.14808992907446905
elu, None, None, 64, 10, 0.001, AdamOptimizer, 5---5, 0.2889096759771945, 0.14770066208658117
elu, None, None, 64, 10, 0.001, AdamOptimizer, 5---5, 0.29001615293940153, 0.153663497365101
elu, None, None, 64, 11, 0.001, AdamOptimizer, 5---5, 0.28820487728203403, 0.11719511578588093
elu, None, None, 64, 12, 0.001, AdamOptimizer, 5---5, 0.29165538641107125, 0.1475327901968223
elu, None, None, 64, 12, 0.001, AdamOptimizer, 5---5, 0.2918842285967983, 0.14975844704083263
elu, None, None, 64, 13, 0.001, AdamOptimizer, 5---5, 0.29353924997628145, 0.13603048140225193
elu, None, None, 64, 14, 0.001, AdamOptimizer, 5---5, 0.29430905163612553, 0.13044982968157115
elu, None, None, 64, 14, 0.001, AdamOptimizer, 5---5, 0.2936515769757042, 0.12985584629504165
elu, None, None, 64, 15, 0.001, AdamOptimizer, 5---5, 0.2951470717458662, 0.14957159790059826
elu, None, None, 64, 16, 0.001, AdamOptimizer, 5---5, 0.2957684853009718, 0.13881406870522028
elu, None, None, 64, 16, 0.001, AdamOptimizer, 5---5, 0.2955446378649291, 0.1506254538342353
elu, None, None, 64, 17, 0.001, AdamOptimizer, 5---5, 0.29638018843966607, 0.13379454150744285
elu, None, None, 64, 17, 0.001, AdamOptimizer, 5---5, 0.2967067220331948, 0.14020311684051545
elu, None, None, 64, 18, 0.001, AdamOptimizer, 5---5, 0.29717289094518995, 0.140741608196714
elu, None, None, 64, 0, 0.001, AdamOptimizer, 2---2, -0.5420178175312167, -0.42417372336029713
elu, None, None, 64, 1, 0.001, AdamOptimizer, 2---2, -0.23659756723747072, -0.26513412888829513
elu, None, None, 64, 1, 0.001, AdamOptimizer, 2---2, -0.08496859110233945, -0.17106624373343848
elu, None, None, 64, 2, 0.001, AdamOptimizer, 2---2, 0.021485702900046588, -0.09144061343548038
elu, None, None, 64, 3, 0.001, AdamOptimizer, 2---2, 0.08804777999705571, -0.028503218533095342
elu, None, None, 64, 3, 0.001, AdamOptimizer, 2---2, 0.1386722626201643, 0.04006148669731091
elu, None, None, 64, 4, 0.001, AdamOptimizer, 2---2, 0.1688327648130793, 0.08880053153194567
elu, None, None, 64, 5, 0.001, AdamOptimizer, 2---2, 0.19264941425475757, 0.13864784411477327
elu, None, None, 64, 5, 0.001, AdamOptimizer, 2---2, 0.2060624388488822, 0.17066276528941948
elu, None, None, 64, 6, 0.001, AdamOptimizer, 2---2, 0.2139581795140999, 0.1841791326158181
elu, None, None, 64, 7, 0.001, AdamOptimizer, 2---2, 0.22032192426140118, 0.20392765078997055
elu, None, None, 64, 7, 0.001, AdamOptimizer, 2---2, 0.2235111736982024, 0.20721377277489117
elu, None, None, 64, 8, 0.001, AdamOptimizer, 2---2, 0.2263155848633952, 0.21980856577352947
elu, None, None, 64, 8, 0.001, AdamOptimizer, 2---2, 0.2287480587931514, 0.21720202443451808
elu, None, None, 64, 9, 0.001, AdamOptimizer, 2---2, 0.23165949753607307, 0.22224997298771865
elu, None, None, 64, 10, 0.001, AdamOptimizer, 2---2, 0.2341020171966931, 0.22656264979011742
elu, None, None, 64, 10, 0.001, AdamOptimizer, 2---2, 0.23719363032750485, 0.2241778546985349
elu, None, None, 64, 11, 0.001, AdamOptimizer, 2---2, 0.23868071575121963, 0.212061749119123
elu, None, None, 64, 12, 0.001, AdamOptimizer, 2---2, 0.2412997248209955, 0.214441802282054
